date,client_lat,client_lon,client_city,client_country,client_asn,client_isp,server_lat,server_lon,server_site,server_city,download_mbps,min_rtt_ms,packet_loss_rate
2025-10-13,26.0734,-97.2086,Port Isabel,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,138.60083154730808,65.527,0.00030278209502241504
2025-10-13,29.4102,-100.8932,Del Rio,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,102.2333897783944,67.076,0.02612189940361497
2025-10-13,44.5363,-73.197,Colchester,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul06,Montreal,319.218535916686,20.396,0.00667207264793591
2025-10-13,44.6653,-73.0088,Fairfax,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul03,Montreal,362.69675391081614,19.941,0.006495271816350252
2025-10-13,43.4589,-72.9802,Wallingford,US,17356,"Vermont Telephone Company, Inc.",45.4657,-73.7455,yul06,Montreal,93.07864156863342,16.411,0.005586607023863935
2025-10-13,44.5363,-73.197,Colchester,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul03,Montreal,132.76500577575973,32.235,0.0016643154253593144
2025-10-13,39.0469,-77.4903,Ashburn,US,14618,"Amazon.com, Inc.",49.0097,2.54778,par08,Paris,268.8830649697275,81.372,0.0
2025-10-13,38.7095,-78.1539,Washington,US,8075,Microsoft Corporation,51.4775,-0.461389,lhr10,London,281.23577844505974,75.853,0.0
2025-10-13,47.6295,-122.3165,Seattle,US,7385,"Integra Telecom, Inc.",45.4494,9.2783,mil06,Milan,38.44365566336804,184.314,0.07624115061631442
2025-10-13,47.6109,-122.3303,,US,54115,Facebook Inc,51.4775,-0.461389,lhr04,London,187.10652508544445,4.667,0.0
2025-10-13,44.7871,-106.9629,Sheridan,US,30110,Advanced Communications Technology,40.4719,-3.56264,mad04,Madrid,116.57529057096869,169.696,0.00014720203711487636
2025-10-13,37.751,-97.822,,US,11232,Midcontinent Communications,49.91,-97.2399,ywg02,Winnipeg,146.4329668582457,23.922,0.2598811341789296
2025-10-13,37.751,-97.822,,US,36692,"OpenDNS, LLC",51.4775,-0.461389,lhr04,London,60.30699850199668,5.854,0.0005901522417003415
2025-10-13,37.751,-97.822,,US,26156,Verus Corporation,49.0097,2.54778,par05,Paris,117.53475914919846,98.586,0.0
2025-10-13,37.751,-97.822,,US,205016,HERN Labs AB,28.5665,77.1031,del04,New Delhi,9.431169458962941,213.834,0.0
2025-10-13,37.751,-97.822,,US,134651,PT Yetoya Solusi Indonesia,-6.12556,106.656,cgk02,Jakarta,10.9278038474735,31.0,0.06013024950817463
2025-10-13,37.751,-97.822,,US,140457,,-6.12556,106.656,cgk02,Jakarta,0.20214029574597728,244.409,0.007680139638902525
2025-10-13,37.751,-97.822,,US,16839,"SERVICENOW, INC.",12.99,80.1693,maa03,Chennai,37.42057575569662,131.643,0.0725381696787246
2025-10-13,37.751,-97.822,,US,30598,CARNIVAL CRUISE LINES,49.1939,-123.184,yvr04,Vancouver,2.3579393366395003,30.972,0.00553790139373918
2025-10-13,37.751,-97.822,,US,17378,TIERPOINT PENNSYLVANIA TWO LLC,45.4657,-73.7455,yul03,Montreal,584.8726889045922,36.472,0.01578244028710916
2025-10-13,37.751,-97.822,,US,11232,Midcontinent Communications,40.4719,-3.56264,mad04,Madrid,153.08865524657298,133.856,0.0
2025-10-13,59.0391,-158.5294,Dillingham,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr03,Vancouver,63.218996137204634,104.905,0.21744933740990965
2025-10-13,61.1901,-149.9361,Anchorage,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr03,Vancouver,65.61806149036062,42.85,0.0
2025-10-13,61.1921,-149.8969,Anchorage,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr04,Vancouver,1.4029710566379172,63.524,0.2432060967087091
2025-10-13,61.1921,-149.8969,Anchorage,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr04,Vancouver,8.131152687091914,41.812,0.0
2025-10-13,33.5613,-112.1442,Phoenix,US,22773,Cox Communications Inc.,-33.9461,151.177,syd03,Sydney,121.83701291337903,162.011,0.0
2025-10-13,33.3825,-111.875,Mesa,US,22773,Cox Communications Inc.,45.4657,-73.7455,yul06,Montreal,88.23637245807949,69.994,0.06290701502327206
2025-10-13,33.4656,-111.9956,Phoenix,US,22773,Cox Communications Inc.,45.4657,-73.7455,yul06,Montreal,26.264366316587054,68.905,0.0
2025-10-13,33.525,-112.2193,Glendale,US,209,"Qwest Communications Company, LLC",58.8767,5.63778,svg01,Stavanger,118.74256699382256,138.339,0.009127524945978089
2025-10-13,33.9168,-118.3432,Hawthorne,US,20001,Time Warner Cable Internet LLC,45.4494,9.2783,mil07,Milan,115.03727262663764,166.152,0.0
2025-10-13,34.0544,-118.244,Los Angeles,US,36692,"OpenDNS, LLC",45.4494,9.2783,mil06,Milan,137.31032039942053,152.303,0.0
2025-10-13,36.7539,-119.7085,Fresno,US,394092,BCT Consulting Inc.,53.4213,-6.27007,dub01,Dublin,129.0385032440352,152.805,0.0
2025-10-13,33.6816,-117.8302,Irvine,US,7018,"AT&T Services, Inc.",40.4719,-3.56264,mad06,Madrid,10.59419764303724,178.474,0.0
2025-10-13,27.96,-82.4614,Tampa,US,5650,"Frontier Communications of America, Inc.",51.4775,-0.461389,lhr04,London,146.20081902951642,105.374,0.029577470689857846
2025-10-13,27.96,-82.4614,Tampa,US,22549,PBX-Change,51.4775,-0.461389,lhr04,London,52.052530770416034,103.372,0.0
